Category,P_C2SafeRust,P_HumanWritten,P_LOC,Significant_C2SafeRust,Significant_HumanWritten
Arithmetic issues,1.710273037376389e-270,0.0,0.0,True,True
Attribute issues,0.9989738041683016,0.9988462523505729,0.0001506076730413564,False,False
Build configuration issues,0.9999998080621182,0.9990208644170488,0.7979267549603969,False,False
Convention violation,0.4682969981562376,0.00749296570169978,0.3822417983799664,False,True
Documentation issues,1.733644327985518e-50,4.291055334160431e-42,1.6266745997451901e-24,True,True
Error handling issues,0.9999966115568537,0.9993244717372103,0.48340880098224304,False,False
Inflexible code,0.008991677326517887,1.373127905714814e-31,1.5609558104586834e-19,True,True
Logical issues,1.4936431961340083e-11,8.358754206161505e-136,1.923339593329112e-56,True,True
Memory safety,0.9986055872571238,0.9987542363749201,0.7602607417153868,False,False
Misleading code,7.472821577977337e-67,1.3235047445944903e-247,3.1807563972018306e-285,True,True
Non-idiomatic,0.0019373966204790682,3.7906824352337247e-06,2.4344312792654534e-06,True,True
Performance,0.9987116033247604,0.998661993466242,0.30895962460601445,False,False
Readability issues,4.534785304222712e-19,0.0,7.313205718873589e-224,True,True
Redundant,6.51979959761437e-32,0.0,0.0,True,True
Type safety,1.3046371810281888e-18,0.9986035913754944,2.986518901405214e-170,True,False
